ID,Authors,Year,Title,Venue,DOI,Make (TA),Evidence type,Sector,SCOR (Y),End-to-end,AI technique,AI role,Integration extent,HITL role,HITL function,Use in typology,Key finding
R0201,Pilutti Namer T.; Tornielli M.,2025,Fincantieri Shipyards Digital Twin Model,Progress in Marine Science and Technology,10.3233/pmst250135,Make,Empirical case,Maritime/shipbuilding,Plan/Source/Make,N,Hybrid,Decision support,4 Prescriptive-advisory,Elevated,Approve/override,Y,"Fincantieri's shipyard 'twin of twins' (data, visualisation, AI simulation) is being deployed across planning, production and logistics/supply chain, with AI algorithms for weld inspection, sheet placement, truck scheduling/reordering and GenAI operator agents; AI proposes, operators confirm, and change management/training are treated as decisive for adoption."
R0203,Kochnev A.,2025,HOW AUTONOMOUS ROBOTS AND INDOOR MAPPING IMPROVE WAREHOUSE SAFETY,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",10.5593/sgem2025/2.1/s10.25,,Simulation/synthetic,"Warehousing (automotive components plant, Czech Republic)",Source/Make/Deliver,N,Other,Control,4 Prescriptive-advisory,Replaced,Interpret outputs,Y,"A GIS/CAD digital twin of a 7000 m2 Czech automotive warehouse simulated replacing forklifts with three AMRs: risk scores fell ~40%, transport cycle time 28%, human-vehicle conflict zones 42%. All figures are simulated; AMRs are not deployed and the 'machine learning' is never specified."
R0221,Nicoletti B.; Appolloni A.,2025,The Impact of AI Foundation models on the future of digital engineering for logistics and supply Chain,Digital Engineering,10.1016/j.dte.2025.100058,,Empirical case,Shipbuilding/maritime (case: leading global shipbuilding company); framework itself generic/cross-sector LSCM structured by SCOR,Make,N,LLM/agent,Decision support,4 Prescriptive-advisory,Elevated,Interpret outputs,Y,"Proposes a CPPS (5C) functional/technical architecture where a fine-tuned LLM AI kernel with RAG, AI agents and a knowledge-based model drive per-machine digital twins for virtual testing and predictive maintenance; maps FM tools to all six SCOR processes; shipyard case (VFM drones, predictive maintenance, surrogate simulations) reports qualitative benefits only."
R0223,Ziari M.; Taleizadeh A.A.,2025,Integrated data-driven and artificial intelligence framework to develop digital twins in distribution system of supply chains: A real industrial case,International Journal of Production Economics,10.1016/j.ijpe.2025.109743,,Empirical case,Packaging manufacturing / FMCG distribution (glass and plastic bottles),Plan/Source/Make/Deliver,N,Classical ML,Forecasting/estimation,4 Prescriptive-advisory,Maintained,Interpret outputs,Y,"A three-layer distribution-system twin (physical world, reported data, digital world) with an Elastic Net demand-forecasting core feeding a simulation-optimisation DSS integrated with ERP; in a glass/plastic bottle manufacturer it reports R2 0.86-0.87, MAE 9.2% of mean demand, 85-89% service levels and 22% better forecast accuracy."
R0237,Monizza G.P.; Mozaffari M.; Fabbrizzi S.; Gamper J.; Lanz O.; Matt D.T.,2024,Defining a Cognitive Digital Twin architecture in food supply chains: the early outcomes of DSS4LCO initiative,"Proceedings of the International Food Operations and Processing Simulation Workshop, FOODOPS",10.46354/i3m.2024.foodops.010,,Conceptual,"Food/cold chain (food supply chains in general; prototype with local stakeholders only planned, no case yet)",Plan/Source/Make/Deliver,Y,Hybrid,Decision support; Optimisation,5 Prescriptive-autonomous,Reduced,Approve/override; Handle exceptions; Provide data/labels,Y,"Design-science proposal (nothing implemented) of a Cognitive Digital Twin for food supply chains: DT domain (IIoT, VSM virtual model, LARG index, multi-objective optimisation) plus CDT domain (OWL ontology, knowledge graphs, ML engine) intended to decide autonomously, with selective classification (abstention) and active learning keeping humans co-piloting."
R0249,Campos M.G.G.; van Beurden P.,2024,Potential of Applying Artificial Intelligence to Hot Metal Logistics Management,China's Refractories,10.19691/j.cnki.1004-4493.2024.03.006,Make,Simulation/synthetic,Steel/metals manufacturing (intra-plant hot metal logistics),Plan/Make,N,Reinforcement learning,Optimisation,4 Prescriptive-advisory,Reduced,Interpret outputs,N,"Validated digital twins of Tata Steel's torpedo and hot-metal-ladle cycles (within 5% / 8 min of real operation), fed by FEM-derived reduced-order thermal models, let reinforcement-learning agents select ladles/torpedoes and schedule the hot metal route, cutting simulated hot metal temperature loss by 15 degC versus the FIFO baseline."
R0252,Corsini R.R.; Costa A.; Fichera S.; Framinan J.M.,2024,Digital twin model with machine learning and optimization for resilient production–distribution systems under disruptions,Computers and Industrial Engineering,10.1016/j.cie.2024.110145,,Simulation/synthetic,Semiconductor manufacturing,Plan/Source,N,Hybrid,Optimisation,5 Prescriptive-autonomous,Not discussed,None,Y,"A closed-loop DT (moving-average lead-time forecast, simulation, ANN surrogates inside PSO) re-optimising SOUT parameters every 30 days kept fill rate near 99%, cut backlog by 81-92% and improved time-to-recover and time-to-survive versus static parameters under COVID-shaped lead-time disruptions, at ~8.7 s per review; no human step in the loop."
R0270,Yang C.; Yu H.; Zheng Y.; Ala-Laurinaho R.; Feng L.; Tammi K.,2024,Towards Human-Centric Manufacturing: Leveraging Digital Twin for Enhanced Industrial Processes,IECON Proceedings (Industrial Electronics Conference),10.1109/iecon55916.2024.10905474,Make,Empirical case,Manufacturing / intra-plant logistics,Make,N,LLM/agent,Decision support,1 Descriptive,Elevated,Interpret outputs,Y,"A three-layer DT architecture (Data, Knowledge, AI, 3D engines) with an industrial-process ontology was implemented in a lab factory and validated on in-plant AGV/crane transport: an LLM-RAG over a Neo4j knowledge graph answers operator queries in natural language, while knowledge-driven 3D safety zones alert crane operators; latency under 300 ms."
R0272,Badakhshan E.; Ball P.,2024,Deploying hybrid modelling to support the development of a digital twin for supply chain master planning under disruptions,International Journal of Production Research,10.1080/00207543.2023.2244604,,Simulation/synthetic,Generic/cross-sector,Plan/Make/Deliver,N,Classical ML,Decision support,4 Prescriptive-advisory,Maintained,Set objectives/constraints,Y,Hybrid DES-CART decision tree-MIP framework (a digital-twin precursor with periodic physical-digital data flow) updates the SC master plan under demand and lead-time disruptions; responsive planning raised DC service level (+16.88% for product 1) and cut total cost by 15% versus unresponsive planning.
R0273,Ivanov D.,2024,Conceptualisation of a 7-element digital twin framework in supply chain and operations management,International Journal of Production Research,10.1080/00207543.2023.2217291,,Conceptual,Generic/cross-sector,Plan/Source/Make/Deliver/Return,Y,Other,Decision support,4 Prescriptive-advisory,Maintained,Approve/override,Y,"Proposes a 7-element SCOM digital twin framework (technology, people, management, organisation, scope, task, modelling) and five twin types; concludes twins are socio-technical systems with continuous human–AI interaction, where analytics (simulation, optimisation, neural networks, ML/RL) is the modelling backbone and decisions stay with humans or pass to AI by design."
R0291,Tang Y.M.; Kuo W.T.; Lee C.K.M.,2023,Real-time Mixed Reality (MR) and Artificial Intelligence (AI) object recognition integration for digital twin in Industry 4.0,Internet of Things (Netherlands),10.1016/j.iot.2023.100753,,Simulation/synthetic,Warehousing,Deliver,N,Other deep learning,Other,1 Descriptive,Maintained,Interpret outputs,Y,"Lab prototype (HoloLens MR + Azure cloud + MySQL) framed as a warehouse digital twin: YOLOv5-s detects packages and pulls item records (location, order number) onto an MR dashboard for operators (125 FPS, 67.3% mAP). Forecast/risk functions only described; humans keep all logistics decisions."
R0298,Badakhshan E.; Ball P.,2023,Applying digital twins for inventory and cash management in supply chains under physical and financial disruptions,International Journal of Production Research,10.1080/00207543.2022.2093682,,Simulation/synthetic,FMCG (consumer goods),Plan/Source/Make/Deliver,Y,Classical ML,Decision support,4 Prescriptive-advisory,Maintained,Interpret outputs,Y,"Simulation-generated data trained a CART decision tree (83-86% accuracy) whose rules set inventory and cash replenishment policies; centralised planning with these rules cut the manufacturer's cash conversion cycle by 11.1 and 9.5 weeks versus decentralised planning, with and without disruptions; the wholesaler's ordering policy drives manufacturer CCC."
R0299,Khetani N.; Sharma A.; Kulkarni A.,2023,Real-Time Logistics and Warehouse Integration via Networks of the Future and Dynamic Digital Twins,"2023 IEEE Engineering Informatics, EI 2023",10.1109/ieeeconf58110.2023.10520525,,Empirical data,Warehousing,Plan/Deliver,N,Classical ML,Forecasting/estimation,5 Prescriptive-autonomous,Maintained,Handle exceptions,Y,"A proof-of-concept warehouse digital twin couples Ridge-regularised polynomial regression on real packing data (RMSE 14.72 s vs 19.04 s linear, 89% cohesion) with a grid-adapted A* pathfinder, plus Node-RED/Traccar/RFID and 5G, to auto-release orders and re-route AGVs after layout changes."
