id,title,authors,year,source,doi,code,exclusion_reason,snowballing_value,background_pool_c8,make
R0079,"Systematic Review of Artificial Intelligence Tools Applied to the Classification, Quality Control, and Shelf Life Prediction of Post-harvest Agricultural Products (2000–2025)",Valle-Lituma C.; Aguirre-Munizaga M.; Salous A.E.; Cardenas-Rodriguez M.,2026,Scopus,10.1007/978-3-032-11494-5_3,E4,Wrong publication type,medio,,
R0080,An intelligent Digital Twin based on machine learning for interpretable decision-making in manufacturing,Genetti S.; Scarton G.; Formentini M.; Iacca G.,2026,Scopus + WoS,10.1016/j.ijpe.2025.109841,I,,,,Make
R0081,Digital Twin-Enabled Conversion of Spent Mushroom Substrate for Circular Manufacturing,Luo Y.; Ball P.,2026,Scopus + WoS,10.1007/978-3-032-21157-6_47,I,,,,Make
R0082,Digital Twin Framework for Supermarket Supply Chain Management Using Predictive Analytics,Dhanalakshmi R.; Onkar S.; Vijayaraghavan N.; Baskar M.,2026,Scopus,10.1109/icscan66520.2026.11588493,I,,,,
R0083,A fuzzy optimization-oriented decision support model to examine key industry 4.0 strategies for building resilience against disruptions in a healthcare supply chain,Kayhan B.M.; Yeni F.B.; Ozcelik G.; Ayyildiz E.,2026,Scopus + WoS,10.1007/s10479-024-06441-3,E1,No digital twin/model,,,
R0084,Agentic digital twins: bridging model-based and AI-driven decision-making support for a new era of supply chain and operations management,Ivanov D.,2026,Scopus + WoS,10.1080/00207543.2026.2630277,I,,,,
R0085,"Enabling Flexible, Resilient, and Sustainable Supply Chains through Metaverse Technologies",Raman R.; Gunasekaran A.; Suresh M.,2026,Scopus,10.1007/s40171-026-00490-2,E4,Wrong publication type,medio,,
R0086,Mining Hidden Ridesharing Patterns: A Data-Driven Gap Analysis of Chicago TNC Trips,Sebti E.; Chen Y.,2026,Scopus,10.1007/s42421-026-00149-5,E1,No digital twin/model,,,
R0087,Artificial Intelligence and Machine Learning Applications in the Textile Industry: A Review,Patil S.,2026,Scopus,10.5281/zenodo.20554381,E4,Wrong publication type,bajo,,
R0088,Possibilities of Using Generative AI in AI-Based Digital Twins for Industry 5.0/6.0,Rojek I.; Naprstkova N.; Mikołajewski D.,2026,Scopus,10.1007/978-3-032-21654-0_3,E2,No supply chain scope,,,
R0089,Research on Coordinated Scheduling Optimization of Urban Transportation and Logistics Driven by Digital Twin,Zhenzhen X.,2026,Scopus,10.1007/978-981-95-8056-9_35,I,,,,
R0090,Unveiling the future: A bibliometric review of emerging trends and hotspots in sustainable modern industrial chains,Jin Y.; Liu J.,2026,Scopus + WoS,10.1016/j.sftr.2026.102046,E4,Wrong publication type,bajo,,
R0091,The Sustainable Development of Industrial Production by Internet of Things Technology: Based on Bibliometric Analysis Methods,Yang X.; Liu Y.; Wang R.,2026,Scopus + WoS,10.7232/iems.2026.25.1.120,E4,Wrong publication type,bajo,,
R0092,"Artificial intelligence and digital twins: pathways to climate-resilient, traceable and equitable global food supply chains","Borrás-Hidalgo, O; Ding, F; El Sheikha, A",2026,WoS,10.1016/j.tifs.2026.105973,E4,Wrong publication type,alto,,
R0093,Optimizing Material Flow in Industrial Warehousing: A Human-Centric Industrial Metaverse,"Lignell, A; Sohrab, F; Gabbouj, M",2026,WoS,10.1109/access.2026.3676984,E4,Wrong publication type,alto,,
R0094,An Adaptive Supply Chain Stress Testing Framework with Deep Learning,"Ozturk, C; O'Sullivan, B",2026,WoS,10.1007/978-3-032-04774-8_75,I,,,,
R0095,"A systematic mapping of artificial intelligence, digital twins, and blockchain applications in nuclear plants","Pakdel, J; Erol, I; Oztel, A; Kanbak, N",2026,WoS,10.1016/j.engappai.2026.115051,E4,Wrong publication type,bajo,,
R0096,Bridging digital and sustainable supply chains: insights from a podcast analysis,"Seuring, S; Neuberger, J; Qazi, SA; Schilling, L; Patrucco, AS",2026,WoS,10.1108/ijpdlm-05-2025-0256,E1,No digital twin/model,,,
R0097,A simulation-based digital twin model for data-driven decision optimization,Keshvarinia M.; MacKenzie C.A.; Zhao Z.,2025,Scopus,10.1016/j.dajour.2025.100646,I,,,,Make
R0098,Research on Optimization of Multi-load AGV Picking System Operation Process,Li R.; Wang Z.; Wang Y.; Zhang J.; Song S.; Fu J.,2025,Scopus,10.52202/083767-0001,E1,No digital twin/model,,,
R0099,Optimising the construction process through digitalisation: Case studies of projects under unstable resource supply,Oliinyk V.; Kononchuk R.; Kobelchuk O.; Tugay A.; Dubynka O.,2025,Scopus,10.56318/as/1.2025.92,E4,Wrong publication type,bajo,,
R0100,Research on Automatic Deployment and Intelligent Testing Framework of Autonomous Controllable Operating System for Power Energy System,Lu X.; Su Y.,2025,Scopus,10.1109/aecspe66597.2025.00090,E2,No supply chain scope,,,
R0101,Data-Sovereign Architecture for Quality-As-A-Service Across Industrial Supply Chain Partners,Araya-Martinez J.M.; Kannanthodath Induchoodan A.M.; Kalpathy Sundaram S.K.; Görzig D.; Diemer J.; Lambrecht J.; Krüger J.,2025,Scopus,10.1016/j.procir.2025.08.140,E1,No digital twin/model,,,
R0102,Demo: Immersive Digital Twin Networks for Industrial Internet of Things,Sun Y.; Ban R.; Zhong Z.; Nan Z.; Chen X.; Guo H.; Wang J.,2025,Scopus + WoS,10.1145/3680207.3765584,E1,No digital twin/model,,,
R0103,Advancing net-zero supply chain management: a machine learning driven review aligned with the sustainable development goals,Raman R.; Gunasekaran A.; Mandal S.,2025,Scopus + WoS,10.1080/13675567.2025.2552754,E4,Wrong publication type,bajo,,
R0104,Elevating manufacturing excellence with multilevel optimization in smart factory cloud computing using hybrid model,Vaidya S.; Jethava G.,2025,Scopus + WoS,10.1007/s10586-024-05074-2,E1,No digital twin/model,,,
R0105,Smart Supply Chain Management with Artificial Intelligence: Toward Resilient and Sustainable Industrial Automation in Industry 4.0,Rizkia I.; Yulianto H.D.,2025,Scopus,10.1109/iciss66954.2025.11389384,I,,,,
R0106,IoT Data Analytics Driving Digital Twin Systems for Sustainable Operations Management,Huddar V.; Jaiswal R.; Kachave P.S.; Al Said N.; Annavarapu B.J.; Parida P.K.,2025,Scopus,10.1109/iconstem65670.2025.11374358,E2,No supply chain scope,,,
R0107,Digital Twin-Enabled IoT Architecture for Early Fault Detection and Integrated Forklift Monitoring Using an ESP32 Platform,Jacha H.R.B.; Acuña E.H.A.; Acosta A.K.N.; Becerra Felipe J.L.; Rivas J.R.R.; Carrizales Navarro J.A.,2025,Scopus,10.1109/intercon67304.2025.11244693,I,,,,
R0108,Symbiotic Artificial Intelligence Twin Framework for Circular Manufacturing: A Sustainability-Led Industry 5.0 Framework,Rathnavel P.,2025,Scopus,10.1109/iccca66364.2025.11325651,I,,,,Make
R0109,Hybridize Machine Learning Methods and Optimization Techniques to Analyze and Repair Welding Defects via Digital Twin of Jidoka Simulator,Abed A.M.; Gaafar T.S.,2025,Scopus,10.1109/access.2025.3533377,E2,No supply chain scope,,,
R0110,A systematic review of industry 4.0 technologies in the production and manufacturing sector,Pandey R.; Billore M.; Rao A.K.; Bhandari A.; Yadav A.K.; Kushwaha R.; Shrivastava A.,2025,Scopus,10.21741/9781644903438-20,E4,Wrong publication type,bajo,,
R0111,Real-Time Assessment and Dynamic Optimization Model for Supply Chain Resilience Based on Digital Twins,He J.,2025,Scopus,10.1109/lescdt66758.2025.00025,E3,No AI/ML component,,alto,
R0112,Streamlining Real-Time Sensor Data Collection and Querying Processes From Environmental Parameters in a Food Cold Store,Nsunba P.; Isingizwe Nturambirwe J.F.; Nyirenda C.N.,2025,Scopus,10.23919/ist-africa67297.2025.11060485,E3,No AI/ML component,,alto,
R0113,Enhancing Smart City Logistics Through IoT-Enabled Predictive Analytics: A Digital Twin and Cybernetic Feedback Approach,Fatorachian H.; Kazemi H.; Pawar K.,2025,Scopus + WoS,10.3390/smartcities8020056,I,,,,
R0114,"How Digital Twin Technology Can Support Value Stream Mapping, a Renewed Method in Lean Construction",Golsorkhi S.; Poshdar M.,2025,Scopus,10.1007/978-981-96-4051-5_92,E4,Wrong publication type,bajo,,
R0115,New Dimensions in the Study of Outsourcing Logistics Services: The Role of Digitalization in Enhancing Efficiency,Tamás P.,2025,Scopus + WoS,10.3390/logistics9020044,E1,No digital twin/model,,,
R0116,Method for Rrecognizing and Generating Three-Dimensional Objects to Create Digital Twins,Fedorin D.V.; Nastenko S.K.; Polyanichenko D.S.; Sukhanov A.V.; Grishaev S.Y.; Butakova M.A.,2025,Scopus + WoS,10.5391/ijfis.2025.25.1.97,I,,,,
R0117,Artificial intelligence and circular supply chains: framework for applications and deployment from the triple bottom line model perspective,Meena R.; Sahoo S.; Malik A.; Kumar S.; Nguyen M.,2025,Scopus + WoS,10.1007/s10479-025-06510-1,E4,Wrong publication type,medio,,
R0118,"Productivity Enhancement in the Indian Auto Component Manufacturing Supply Chain Through IoT, Digital Twins with Generative AI, and Stacked Encoder-Enhanced Neural Networks",Bhoite T.D.; Buktar R.B.; Mahalle P.N.; Khond M.P.; Pise G.S.; More Y.,2025,Scopus,10.1007/s43069-025-00522-0,I,,,,Make
R0119,Digital twin integration for dynamic quality loss control in fruit supply chains,Zou Y.; Wu J.; Meng X.; Wang X.; Manzardo A.,2025,Scopus + WoS,10.1016/j.jfoodeng.2025.112577,I,,,,
R0120,Developing Supply Chain Resilience with Advanced Digital Technology: A Review,Hu Y.; Ghadimi P.,2025,Scopus + WoS,10.1016/j.ifacol.2025.09.484,E4,Wrong publication type,alto,,
R0121,A Sequential Roadmap of Industry 5.0: Exploring Challenges and Opportunities,Joshi A.; Pandey D.; Bisht D.; Kumar R.; Bhandari K.,2025,Scopus,10.1109/icecst66106.2025.11307487,E1,No digital twin/model,,,
